timestamp;l_x_0;l_y_0;l_z_0;l_x_1;l_y_1;l_z_1;l_x_2;l_y_2;l_z_2;l_x_3;l_y_3;l_z_3;l_x_4;l_y_4;l_z_4;l_x_5;l_y_5;l_z_5;l_x_6;l_y_6;l_z_6;l_x_7;l_y_7;l_z_7;l_x_8;l_y_8;l_z_8;l_x_9;l_y_9;l_z_9;l_x_10;l_y_10;l_z_10;l_x_11;l_y_11;l_z_11;l_x_12;l_y_12;l_z_12;l_x_13;l_y_13;l_z_13;l_x_14;l_y_14;l_z_14;l_x_15;l_y_15;l_z_15;l_x_16;l_y_16;l_z_16;l_x_17;l_y_17;l_z_17;l_x_18;l_y_18;l_z_18;l_x_19;l_y_19;l_z_19;l_x_20;l_y_20;l_z_20;r_x_0;r_y_0;r_z_0;r_x_1;r_y_1;r_z_1;r_x_2;r_y_2;r_z_2;r_x_3;r_y_3;r_z_3;r_x_4;r_y_4;r_z_4;r_x_5;r_y_5;r_z_5;r_x_6;r_y_6;r_z_6;r_x_7;r_y_7;r_z_7;r_x_8;r_y_8;r_z_8;r_x_9;r_y_9;r_z_9;r_x_10;r_y_10;r_z_10;r_x_11;r_y_11;r_z_11;r_x_12;r_y_12;r_z_12;r_x_13;r_y_13;r_z_13;r_x_14;r_y_14;r_z_14;r_x_15;r_y_15;r_z_15;r_x_16;r_y_16;r_z_16;r_x_17;r_y_17;r_z_17;r_x_18;r_y_18;r_z_18;r_x_19;r_y_19;r_z_19;r_x_20;r_y_20;r_z_20
1772632963.0;0.3726799190044403;0.7050789594650269;1.7127034368513705e-07;0.39444682002067566;0.6598608493804932;-0.006122642196714878;0.40208888053894043;0.6083168387413025;-0.008207598701119423;0.4037514626979828;0.5676671862602234;-0.011501745320856571;0.40513554215431213;0.5354443192481995;-0.014830497093498707;0.3604561984539032;0.5734604001045227;0.0013649060856550932;0.3645227551460266;0.5252461433410645;-0.00906316190958023;0.3737092912197113;0.49868208169937134;-0.0187920443713665;0.383386492729187;0.47691455483436584;-0.02513708360493183;0.34255361557006836;0.5751891732215881;-0.0036221349146217108;0.3425934314727783;0.5192890763282776;-0.010778862051665783;0.3477705419063568;0.4847700893878937;-0.018666444346308708;0.3536117970943451;0.45514151453971863;-0.0248307753354311;0.325492262840271;0.5865901112556458;-0.011023457162082195;0.3208562433719635;0.5325300693511963;-0.019872358068823814;0.3236633539199829;0.49692171812057495;-0.027170274406671524;0.32918885350227356;0.4668087363243103;-0.032516542822122574;0.30953821539878845;0.6086233258247375;-0.019368397071957588;0.2906864285469055;0.5743136405944824;-0.027315348386764526;0.2840765416622162;0.5469515323638916;-0.030739998444914818;0.2833603024482727;0.5219796299934387;-0.03343882039189339;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1772632963.0333333;0.3716408610343933;0.701906681060791;2.700438415104145e-07;0.39443036913871765;0.6606985926628113;-0.007426552940160036;0.4024885594844818;0.6073625087738037;-0.00946647860109806;0.4040873050689697;0.5663838982582092;-0.011951655149459839;0.4052920639514923;0.5340962409973145;-0.0144245196133852;0.3603366017341614;0.570217490196228;0.0008078522514551878;0.3635146915912628;0.5219172835350037;-0.008394470438361168;0.37068140506744385;0.4930027723312378;-0.017456838861107826;0.3781487047672272;0.4694061279296875;-0.023171719163656235;0.3417584002017975;0.5720717906951904;-0.0027585315983742476;0.34049078822135925;0.5163463354110718;-0.008566880598664284;0.34282931685447693;0.47936028242111206;-0.015804516151547432;0.3451734781265259;0.44729143381118774;-0.021302910521626472;0.32493799924850464;0.5836388468742371;-0.008724245242774487;0.3192926347255707;0.5307609438896179;-0.01589144580066204;0.3199896216392517;0.49489372968673706;-0.02284947596490383;0.3227272927761078;0.4632776975631714;-0.02796970307826996;0.30904996395111084;0.6054072976112366;-0.01567373052239418;0.2907392978668213;0.5725564956665039;-0.022815123200416565;0.28228193521499634;0.5465050935745239;-0.026308834552764893;0.27766233682632446;0.5207993984222412;-0.028853312134742737;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1772632963.0666666;0.37157467007637024;0.7010738253593445;2.7252082190898363e-07;0.3938639760017395;0.6599286198616028;-0.008084160275757313;0.40247005224227905;0.6068945527076721;-0.010545119643211365;0.4040410816669464;0.5663403272628784;-0.013398559764027596;0.40477120876312256;0.5338746905326843;-0.016232691705226898;0.3589489758014679;0.568155825138092;-5.628266990242992e-06;0.3626762628555298;0.5195499658584595;-0.00942208245396614;0.3690624237060547;0.48957836627960205;-0.018765980377793312;0.37526124715805054;0.46427834033966064;-0.024797232821583748;0.3403584957122803;0.56998610496521;-0.0036478517577052116;0.33827880024909973;0.514762282371521;-0.0097311707213521;0.3392402231693268;0.47763168811798096;-0.017342323437333107;0.33987337350845337;0.44540542364120483;-0.023147763684391975;0.32414644956588745;0.5820057988166809;-0.009662904776632786;0.3171864151954651;0.5309646129608154;-0.01684202067553997;0.3168153762817383;0.4949832260608673;-0.02396334894001484;0.3182499408721924;0.46275120973587036;-0.02926730178296566;0.3091782033443451;0.6049880981445312;-0.01675613597035408;0.28979983925819397;0.5733453035354614;-0.024005906656384468;0.2813012897968292;0.5470683574676514;-0.027558449655771255;0.2769126892089844;0.5209885835647583;-0.030121462419629097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1772632963.1;0.3702026307582855;0.7017232179641724;2.7789442924586183e-07;0.3925624489784241;0.6608227491378784;-0.009891794994473457;0.40223580598831177;0.6075952053070068;-0.013444419018924236;0.4039381146430969;0.5649234056472778;-0.01701512187719345;0.4039349853992462;0.5302510261535645;-0.0204963106662035;0.35876965522766113;0.5673414468765259;-0.002038308884948492;0.36229583621025085;0.5177235007286072;-0.011897407472133636;0.3675149083137512;0.48712456226348877;-0.0214993953704834;0.3723536729812622;0.46119675040245056;-0.027767837047576904;0.3397792875766754;0.5692304372787476;-0.00499098701402545;0.33725064992904663;0.5132902264595032;-0.0116024324670434;0.3370755910873413;0.4757848381996155;-0.01959466189146042;0.3366355299949646;0.44350913166999817;-0.02567918971180916;0.3232111632823944;0.5815183520317078;-0.010360615327954292;0.3162895441055298;0.5294530987739563;-0.018072696402668953;0.31504350900650024;0.4936121106147766;-0.025315163657069206;0.31548964977264404;0.4614811837673187;-0.030655940994620323;0.30807995796203613;0.6051090955734253;-0.016916360706090927;0.2891710698604584;0.5733080506324768;-0.02476607635617256;0.2799495756626129;0.5474633574485779;-0.028518516570329666;0.2742960751056671;0.5218158960342407;-0.03110065869987011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1772632963.1333334;0.3687325716018677;0.7029452919960022;2.650484702826361e-07;0.39180469512939453;0.6622965931892395;-0.00973169319331646;0.4022161662578583;0.6080698370933533;-0.012951184995472431;0.40434253215789795;0.5653610825538635;-0.0162380151450634;0.40505215525627136;0.5314812064170837;-0.01950651966035366;0.3587985932826996;0.5667718052864075;-0.0023923651315271854;0.3623804450035095;0.5166628956794739;-0.012093554250895977;0.3669971227645874;0.485779732465744;-0.021547559648752213;0.37106820940971375;0.4595421552658081;-0.027789220213890076;0.33955296874046326;0.5687554478645325;-0.005423286929726601;0.33667001128196716;0.5127552151679993;-0.012015159241855145;0.33581802248954773;0.4751701056957245;-0.019942622631788254;0.3346402943134308;0.44294989109039307;-0.026005420833826065;0.32299232482910156;0.5812391042709351;-0.010791642591357231;0.31593307852745056;0.5292032361030579;-0.018425561487674713;0.31433743238449097;0.4935605227947235;-0.025584371760487556;0.3143685758113861;0.4617600440979004;-0.030891017988324165;0.30783331394195557;0.6050962209701538;-0.01734727807343006;0.2888261377811432;0.5732346177101135;-0.02516169100999832;0.27962958812713623;0.5475285649299622;-0.02885410003364086;0.27402523159980774;0.5221958160400391;-0.03137805685400963;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1772632963.1666667;0.3687123954296112;0.7042120099067688;2.6123535690203425e-07;0.3915582299232483;0.6625996232032776;-0.009854326024651527;0.40201902389526367;0.607216477394104;-0.012980242259800434;0.40467554330825806;0.5632389783859253;-0.016306113451719284;0.404802531003952;0.5279564261436462;-0.019620340317487717;0.35888952016830444;0.5675545930862427;-0.001573850866407156;0.3620394170284271;0.5177924036979675;-0.011418108828365803;0.36613380908966064;0.48709025979042053;-0.021043729037046432;0.3697591722011566;0.46040356159210205;-0.027514779940247536;0.339589387178421;0.5695551633834839;-0.004768858198076487;0.3359421193599701;0.5136879086494446;-0.011743108741939068;0.3345160186290741;0.4757537543773651;-0.02002565562725067;0.33295726776123047;0.4428452253341675;-0.0263189859688282;0.32301950454711914;0.5821219086647034;-0.010410704649984837;0.3153776526451111;0.529931902885437;-0.018513619899749756;0.31333351135253906;0.4939078688621521;-0.025920337066054344;0.31302565336227417;0.46147286891937256;-0.03131675720214844;0.30805703997612;0.6057887673377991;-0.01727871783077717;0.28940823674201965;0.5737034678459167;-0.025668879970908165;0.279990553855896;0.5479496717453003;-0.02972666174173355;0.27389344573020935;0.5225516557693481;-0.03244159370660782;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1772632963.2;0.3687782287597656;0.703833281993866;2.662335134573368e-07;0.3916148543357849;0.6615705490112305;-0.009965583682060242;0.40168556571006775;0.6059239506721497;-0.012997288256883621;0.40384525060653687;0.561272919178009;-0.016186432912945747;0.40263208746910095;0.5250880122184753;-0.019375845789909363;0.3587971031665802;0.5677797794342041;-0.0016163664404302835;0.361666202545166;0.5172412991523743;-0.011367051862180233;0.3655449450016022;0.4864141345024109;-0.020886141806840897;0.36875975131988525;0.45969557762145996;-0.027266979217529297;0.339527428150177;0.5696609020233154;-0.00473388098180294;0.33552926778793335;0.5132927298545837;-0.011509360745549202;0.333836168050766;0.47546711564064026;-0.0197675172239542;0.33194759488105774;0.4426531493663788;-0.02609821781516075;0.32260534167289734;0.5821250081062317;-0.010280457325279713;0.31469887495040894;0.5295411944389343;-0.018160680308938026;0.312691330909729;0.4937376081943512;-0.02535710483789444;0.3123546242713928;0.46153873205184937;-0.03066808544099331;0.30712890625;0.6057583093643188;-0.01706625521183014;0.2878621220588684;0.5732738375663757;-0.025162452831864357;0.2783552408218384;0.5474705696105957;-0.02888498455286026;0.2724067270755768;0.5223069787025452;-0.031400639563798904;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1772632963.2333333;0.36777642369270325;0.7033696174621582;2.647248322773521e-07;0.39117980003356934;0.6612585783004761;-0.010291134007275105;0.4017737805843353;0.6063030958175659;-0.013459572568535805;0.4039614498615265;0.5622995495796204;-0.01677429862320423;0.4032920300960541;0.5265538096427917;-0.020038899034261703;0.35859423875808716;0.5667845010757446;-0.001316532026976347;0.3613438308238983;0.5169873237609863;-0.011082857847213745;0.3650411069393158;0.4861864745616913;-0.02070528268814087;0.36825990676879883;0.4594128727912903;-0.027198519557714462;0.339096337556839;0.5688700079917908;-0.004178136587142944;0.33505553007125854;0.5133206844329834;-0.011155758053064346;0.33316200971603394;0.4758811593055725;-0.019544612616300583;0.3313791751861572;0.44351667165756226;-0.025913499295711517;0.32220175862312317;0.581529438495636;-0.009532126598060131;0.31431230902671814;0.5296733379364014;-0.0175898727029562;0.31211361289024353;0.4941920042037964;-0.02493244595825672;0.3117922842502594;0.4621869921684265;-0.030284658074378967;0.30683112144470215;0.6052625179290771;-0.01616717129945755;0.2883610129356384;0.5733658671379089;-0.024501895532011986;0.27872613072395325;0.5479454398155212;-0.028514700010418892;0.2723248302936554;0.5228589177131653;-0.031181244179606438;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1772632963.2666667;0.36807528138160706;0.7024475932121277;2.7397257440497924e-07;0.3912661075592041;0.6598616242408752;-0.01055305264890194;0.40166741609573364;0.6055490970611572;-0.013966250233352184;0.40382272005081177;0.5614423155784607;-0.017441457137465477;0.4023866057395935;0.5249428749084473;-0.020858149975538254;0.35794320702552795;0.5677247047424316;-0.0019105544779449701;0.36090195178985596;0.5174263715744019;-0.01194992009550333;0.3646712601184845;0.4861777424812317;-0.021660853177309036;0.36772897839546204;0.45905983448028564;-0.02812507562339306;0.33855098485946655;0.569308876991272;-0.004634698387235403;0.33485180139541626;0.5132112503051758;-0.011662609875202179;0.3331306576728821;0.4755919277667999;-0.01996321603655815;0.33133426308631897;0.4431416392326355;-0.026254117488861084;0.3215716481208801;0.581359326839447;-0.009850542061030865;0.31385308504104614;0.5291692614555359;-0.01785443350672722;0.3118687570095062;0.4937554597854614;-0.02499350532889366;0.31166157126426697;0.4618755578994751;-0.030191166326403618;0.3061356544494629;0.6044582724571228;-0.016367696225643158;0.2875159978866577;0.5722374320030212;-0.024560781195759773;0.27823248505592346;0.5466628074645996;-0.028343725949525833;0.27249014377593994;0.5217190980911255;-0.030823824927210808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1772632963.3;0.3675556778907776;0.7017779350280762;2.7509864253261185e-07;0.39096811413764954;0.6593905687332153;-0.010664135217666626;0.4013783931732178;0.6061791777610779;-0.014336108230054379;0.40301796793937683;0.5631299018859863;-0.018003078177571297;0.4020387530326843;0.5273604393005371;-0.02161402627825737;0.3574773669242859;0.5676038861274719;-0.0026851436123251915;0.3601841628551483;0.5167306661605835;-0.012880532070994377;0.3639211356639862;0.4853653311729431;-0.022656822577118874;0.3669848144054413;0.45809274911880493;-0.029102228581905365;0.33801740407943726;0.5693499445915222;-0.0053175101056694984;0.33389386534690857;0.5130206346511841;-0.012442491017282009;0.3321138918399811;0.4751902222633362;-0.02075209468603134;0.33019450306892395;0.4425237774848938;-0.02702750824391842;0.32117027044296265;0.5814546942710876;-0.010384738445281982;0.3130578100681305;0.5294874906539917;-0.018409233540296555;0.3109137713909149;0.49379265308380127;-0.02566162496805191;0.31045001745224;0.4618194103240967;-0.030894245952367783;0.30592289566993713;0.6044602394104004;-0.016729263588786125;0.28714460134506226;0.5720477104187012;-0.024826839566230774;0.277516633272171;0.5466034412384033;-0.028565801680088043;0.27118539810180664;0.5218976736068726;-0.030994080007076263;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
